asset,date,br
557,2020,0
557,2021,0
558,2014,0
558,2015,0
558,2016,0
558,2017,0
558,2018,0
558,2019,0
558,2020,0
558,2021,0
559,2014,0
559,2015,0
559,2016,0
559,2017,0
559,2018,0
559,2019,0
559,2020,0
559,2021,0
560,2014,0
560,2015,9.40E-06
560,2016,1.64E-05
560,2017,6.45E-06
560,2018,0
560,2019,0
560,2020,0
560,2021,0
561,2014,0
561,2015,0
561,2016,0
561,2017,1.30E-05
561,2018,3.86E-05
561,2019,1.68E-05
561,2020,1.67E-05
561,2021,1.69E-05
564,2014,0
564,2015,1.14E-05
564,2016,0
564,2017,1.43E-05
564,2018,0
564,2019,0
564,2020,0
564,2021,0
565,2014,6.75E-05
565,2015,0
565,2016,0
565,2017,0
565,2018,0
565,2019,0
565,2020,1.06E-05
565,2021,9.53E-06
566,2014,0
566,2015,0
566,2016,0
566,2017,8.79E-06
566,2018,7.99E-06
566,2019,0
566,2020,0
566,2021,0
568,2014,0
568,2015,0
568,2016,0
568,2017,1.30E-05
568,2018,0
568,2019,0
568,2020,0
568,2021,0
570,2014,0
570,2015,0
570,2016,0
570,2017,0
570,2018,4.20E-05
570,2019,0
570,2020,0
570,2021,0
571,2014,0
571,2015,0
571,2016,0
571,2017,0
571,2018,0
571,2019,0
571,2020,0
571,2021,0
572,2014,0
572,2015,1.32E-05
572,2016,0
572,2017,0
572,2018,0
572,2019,0
572,2020,0
572,2021,2.18E-05
573,2014,0
573,2015,0
573,2016,0
573,2017,0
573,2018,0
573,2019,0
573,2020,0
573,2021,0
576,2014,0
576,2015,0
576,2016,0
576,2017,0
576,2018,0
576,2019,0
576,2020,0
576,2021,0
581,2014,1.28E-05
581,2015,0
581,2016,0
581,2017,0
581,2018,0
581,2019,0
581,2020,0
581,2021,0
582,2014,1.30E-05
582,2015,2.05E-05
582,2016,3.46E-05
582,2017,5.33E-05
582,2018,5.47E-05
582,2019,3.60E-05
582,2020,3.53E-05
582,2021,4.91E-05
584,2014,0
584,2015,0
584,2016,0
584,2017,0
584,2018,0
584,2019,0
584,2020,0
584,2021,0
586,2014,0
586,2015,0
586,2016,4.94E-05
586,2017,0
586,2018,1.32E-05
586,2019,0
586,2020,0
586,2021,0
589,2014,0
589,2015,1.54E-05
589,2016,1.50E-05
589,2017,0
589,2018,0
589,2019,0
589,2020,0
589,2021,0
590,2014,0
590,2015,0
590,2016,0
590,2017,0
590,2018,0
590,2019,0
590,2020,0
590,2021,0
591,2014,0
591,2015,0
591,2016,0
591,2017,0
591,2018,0
591,2019,0
591,2020,0
591,2021,0
592,2014,0
592,2015,1.36E-05
592,2016,1.04E-05
592,2017,0
592,2018,0
592,2019,0
592,2020,0
592,2021,0
593,2014,0
593,2015,0
593,2016,0
593,2017,0
593,2018,0
593,2019,0
593,2020,0
593,2021,0
595,2014,0
595,2015,0
595,2016,0
595,2017,0
595,2018,0
595,2019,0
595,2020,0
595,2021,0
596,2014,0
596,2015,0
596,2016,1.22E-05
596,2017,0
596,2018,0
596,2019,0
596,2020,0
596,2021,0
597,2014,0
597,2015,0
597,2016,0
597,2017,0
597,2018,0
597,2019,0
597,2020,0
597,2021,0
598,2014,1.28E-05
598,2015,1.17E-05
598,2016,9.90E-05
598,2017,6.54E-05
598,2018,0
598,2019,0
598,2020,0
598,2021,0
599,2014,0
599,2015,0
599,2016,0
599,2017,0
599,2018,1.26E-05
599,2019,4.60E-05
599,2020,2.29E-05
599,2021,2.17E-05
600,2014,0
600,2015,1.04E-05
600,2016,0
600,2017,9.77E-06
600,2018,9.20E-06
600,2019,9.16E-06
600,2020,9.16E-06
600,2021,0
601,2014,0
601,2015,0
601,2016,0
601,2017,0
601,2018,0
601,2019,0
601,2020,1.62E-05
601,2021,7.47E-06
603,2014,0
603,2015,0
603,2016,0
603,2017,0
603,2018,0
603,2019,0
603,2020,0
603,2021,0
605,2014,0
605,2015,0
605,2016,0
605,2017,0
605,2018,0
605,2019,0
605,2020,0
605,2021,0
606,2014,0
606,2015,0
606,2016,0
606,2017,0
606,2018,0
606,2019,0
606,2020,0
606,2021,0
607,2014,0
607,2015,0
607,2016,0
607,2017,0
607,2018,0
607,2019,2.77E-05
607,2020,1.86E-05
607,2021,9.03E-06
608,2014,0
608,2015,9.37E-06
608,2016,1.89E-05
608,2017,0
608,2018,0
608,2019,0
608,2020,0
608,2021,0
609,2014,0
609,2015,0
609,2016,0
609,2017,0
609,2018,0
609,2019,0
609,2020,0
609,2021,0
610,2014,0
610,2015,1.24E-05
610,2016,1.20E-05
610,2017,2.84E-05
610,2018,0
610,2019,1.25E-05
610,2020,0
610,2021,0
612,2014,0
612,2015,0
612,2016,0
612,2017,0
612,2018,0
612,2019,0
612,2020,0
612,2021,0
615,2014,0
615,2015,0
615,2016,0
615,2017,0
615,2018,0
615,2019,0
615,2020,0
615,2021,0
616,2014,0
616,2015,0
616,2016,0
616,2017,0
616,2018,0
616,2019,0
616,2020,0
616,2021,0
619,2014,0
619,2015,0
619,2016,0
619,2017,4.61E-05
619,2018,4.26E-05
619,2019,1.34E-05
619,2020,0
619,2021,0
620,2014,0
620,2015,8.18E-06
620,2016,8.98E-06
620,2017,0
620,2018,1.04E-05
620,2019,0
620,2020,0
620,2021,0
622,2014,0
622,2015,0
622,2016,0
622,2017,0
622,2018,0
622,2019,0
622,2020,1.39E-05
622,2021,0
623,2014,0
623,2015,0
623,2016,0
623,2017,0
623,2018,0
623,2019,0
623,2020,0
623,2021,0
625,2014,0
625,2015,0
625,2016,1.05E-05
625,2017,0
625,2018,0
625,2019,9.68E-06
625,2020,0
625,2021,0
626,2014,0
626,2015,0
626,2016,2.10E-05
626,2017,0
626,2018,0
626,2019,0
626,2020,0
626,2021,0
628,2014,0
628,2015,1.19E-05
628,2016,1.24E-05
628,2017,1.21E-05
628,2018,1.22E-05
628,2019,1.08E-05
628,2020,0
628,2021,0
629,2014,1.03E-05
629,2015,2.14E-05
629,2016,0
629,2017,0
629,2018,0
629,2019,0
629,2020,0
629,2021,0
630,2014,1.95E-05
630,2015,1.11E-05
630,2016,0
630,2017,0
630,2018,1.02E-05
630,2019,0
630,2020,8.73E-06
630,2021,0
631,2014,0
631,2015,0
631,2016,0
631,2017,0
631,2018,0
631,2019,0
631,2020,0
631,2021,0
632,2014,0
632,2015,0
632,2016,1.43E-05
632,2017,0
632,2018,0
632,2019,0
632,2020,0
632,2021,1.05E-05
633,2014,0
633,2015,0
633,2016,0
633,2017,2.40E-05
633,2018,0
633,2019,0
633,2020,0
633,2021,0
635,2014,0
635,2015,0
635,2016,0
635,2017,0
635,2018,0
635,2019,0
635,2020,0
635,2021,0
636,2014,0
636,2015,0
636,2016,0
636,2017,0
636,2018,0
636,2019,0
636,2020,0
636,2021,0
637,2014,0
637,2015,1.57E-05
637,2016,0
637,2017,0
637,2018,0
637,2019,0
637,2020,0
637,2021,0
